Silver ewer; carved bone or ivory statuette; finely wrought small gold bracelet 
Cloth of gold vestments; black velvet mask with numerous citrines; silver chalice with lapis lazuli gems 
Large well-done wool tapestry; brass mug with jade inlays 
Silver comb with moonstones; silver-plated steel longsword with jet jewel in hilt 
Carved harp of exotic wood with ivory inlay and zircon gems; solid gold idol (10 lb.) 
Gold dragon comb with red garnet eye; gold and topaz bottle stopper cork; ceremonial electrum dagger with a star ruby in the pommel 
Eyepatch with mock eye of sapphire and moonstone; fire opal pendant on a fine gold chain; old masterpiece painting 
Embroidered silk and velvet mantle with numerous moonstones; sapphire pendant on gold chain 
Embroidered and bejeweled glove; jeweled anklet; gold music box 
Golden circlet with four aquamarines; a string of small pink pearls (necklace) 
Jeweled gold crown; jeweled electrum ring 
Gold and ruby ring; gold cup set with emeralds 
