-----------------------------------------------
Short-Term Madness  (d10 Minutes)
01-20	The character retreats into his or her mind and becomes paralyzed. The effect ends if the character takes any damage.
21-30	The character becomes incapacitated and spends the duraction screaming, laughing, or weeping.
31-40	The character becomes frightened and must use his or her action and movement each round to flee from he source of fear.
41-50	The character begins babbling and is incapable of normal speech or spellcasting.
51-60	The character must use his or her action each round to attack the nearest creature.
61-70	The character experiences vivid hallucinations and has disadvantage on ability checks.
71-75	The character does whatever anyone tells him or her to do that isn't obviously self-destruction.
76-80	The character experiences an overpowering urge to eat something strange such as dirt, slime, or offal.
81-90	The character is stunned.
91-100	The character falls unconscious.
-----------------------------------------------
Long-Term Madness (d10 x 10 Hours)
1-10	The character feels compelled to repeat a specific activity over and over, such as washing hands, touching things, praying, or counting coins.
11-20	The character experiences vivid hallucinations and has disadvantage on ability checks.
21-30	The character suffers extreme paranoia and has disadvantage on Wisdom and Charisma checks.
31-40	The character regards something (usually the source of madness) with intense revulsion, as if affected by the antipathy effect in the spell antipathy/sympathy spell.
41-45	The character experiences a powerful delusion. Choose a potion. The character imagines that he or she is under its effects.
46-55	The character becomes attached to a "lucky charm," such as a person or an object, and has disadvantage on attack rolls, ability checks, and saving throws while more than 30 feet from it.
56-65	The character is blinded (25%) or deafened (75%).
66-75	The character experiences uncontrollable tremors or tics, which impose disadvantage on attack rolls, ability checks, and saving throws that involve Strength or Dexterity.
76-85	The character suffers from partial amnesia. The character knows who he or she is and retains racial traits and class features, but doesn't recognize other people or remember anything that happened before the madness took effect.
86-90	Whenever the character takes damage, he or she must succeed on a DC 15 Wisdom saving throw or be affected as though he or she failed a saving throw against the confusion spell. The confusion effect lasts for 1 minute.
91-95	The character loses the ability to speak.
96-100	The character falls unconscious. No amount of jostling or damage can wake the character.
-----------------------------------------------
Indefinite Madness (lasts until cured)
01-15	"Being drunk keeps me sane."
16-25	"I keep whatever I find."
26-30	"I try to become more like someone else i know - adopting his or her style of dress, mannerisms, and name."
31-35	"I must bend the truth, exaggerate, or outirght lie to be interesting to other people."
36-45	"Achieving my goal is the only thing of interest to me, and I'll ignore everything else to pursue it."
46-50	"I find it hard to caree about anything that goes on around me."
51-55	"I don't like the way people judge me all the time."
56-70	"I am the smartest, wisest, strongest, fastest, and most beautiful person I know."
71-80	"I am convinced that powerful enemies are hunting me, and their agents are everywhere I go. I am sure they're atching me all the time."
81-85	"There's only one person I can trust. And only I can see this special friend."
86-95	"I can't take anything seriously. The more serious the situation, the funnier I find it."
96-100	"I've discovered that I really like killing people."
-----------------------------------------------
